expected_slug,display_name,source_csvs,track_count,is_multi_track,is_1off_only,is_cover_artist,existing_files,file_count,recommended_action,notes
h-e-r,H.E.R.,All_artists_Hh.csv,3,True,False,False,content\h-e-r.md,1,MOVE_AND_RENAME,Move content\h-e-r.md -> content/posts/h-e-r.md
h-town,H-Town,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/h-town.md from CSV.
haiku-hands,Haiku Hands,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/haiku-hands.md from CSV.
hailey-whitters,Hailey Whitters,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hailey-whitters.md from CSV.
hailu-mergia,Hailu Mergia,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hailu-mergia.md from CSV.
haim,HAIM,All_artists_Hh.csv,10,True,False,False,content\haim-7-songs.md,1,MOVE_AND_RENAME,Move content\haim-7-songs.md -> content/posts/haim.md
half-pint,Half Pint,All_artists_Hh.csv; Songs-Hh-DH.csv,4,True,False,False,content\posts\half-pint.md,1,KEEP,Already at canonical location.
halo-benders,The Halo Benders,All_artists_Hh.csv,3,True,False,False,content\halo-benders.md,1,MOVE_AND_RENAME,Move content\halo-benders.md -> content/posts/halo-benders.md
halsey,Halsey,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/halsey.md from CSV.
hamilton-leithauser,Hamilton Leithauser,All_artists_Hh.csv,3,True,False,False,content\posts\hamilton-leithauser.md,1,KEEP,Already at canonical location.
hamilton-leithauser-rostam,Hamilton Leithauser + Rostam,All_artists_Hh.csv,3,True,False,False,,0,CREATE,No file. Create content/posts/hamilton-leithauser-rostam.md from CSV.
hana,HANA,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hana.md from CSV.
hana-vu,Hana Vu,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hana-vu.md from CSV.
handsome-furs,Handsome Furs,All_artists_Hh.csv,2,True,False,False,content\handsome-furs-3-songs.md,1,MOVE_AND_RENAME,Move content\handsome-furs-3-songs.md -> content/posts/handsome-furs.md
hank-ballard-the-midnighters,Hank Ballard & The Midnighters,All_artists_Hh.csv,2,True,False,False,content\posts\hank-ballard-the-midnighters.md,1,KEEP,Already at canonical location.
hank-williams,Hank Williams,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hank-williams.md from CSV.
hannah-cohen,Hannah Cohen,All_artists_Hh.csv,4,True,False,False,content\hannah-cohen.md,1,MOVE_AND_RENAME,Move content\hannah-cohen.md -> content/posts/hannah-cohen.md
hardcover-beats,Hardcover Beats,All_artists_Hh.csv,3,True,False,False,content\posts\hardcover-beats.md,1,KEEP,Already at canonical location.
harry-nilsson,Harry Nilsson,All_artists_Hh.csv; Covers-Hh.csv,10,True,False,True,content\posts\harry-nilsson.md,1,KEEP,Already at canonical location.
harry-styles,Harry Styles,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/harry-styles.md from CSV.
haru-nemuri,HARU NEMURI,All_artists_Hh.csv,2,True,False,False,content\posts\haru-nemuri.md,1,KEEP,Already at canonical location.
haruomi-hosono,Haruomi Hosono,Songs-Hh-2000s-10s.csv,1,False,True,False,content\haruomi-hosono.md,1,MOVE_AND_RENAME,Move content\haruomi-hosono.md -> content/posts/haruomi-hosono.md
hatchie,Hatchie,All_artists_Hh.csv; Songs-Hh-2000s-10s.csv,3,True,False,False,content\hatchie-2-songs.md,1,MOVE_AND_RENAME,Move content\hatchie-2-songs.md -> content/posts/hatchie.md
hayden,Hayden,Songs-Hh-2000s-10s.csv,1,False,True,False,content\hayden.md,1,MOVE_AND_RENAME,Move content\hayden.md -> content/posts/hayden.md
hayden-thorpe,Hayden Thorpe,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hayden-thorpe.md from CSV.
heart,Heart,All_artists_Hh.csv,2,True,False,False,content\heart.md,1,MOVE_AND_RENAME,Move content\heart.md -> content/posts/heart.md
heatmiser,Heatmiser,All_artists_Hh.csv,11,True,False,False,content\posts\heatmiser.md,1,KEEP,Already at canonical location.
heavenly,Heavenly,All_artists_Hh.csv,2,True,False,False,content\heavenly-2-songs.md,1,MOVE_AND_RENAME,Move content\heavenly-2-songs.md -> content/posts/heavenly.md
heavenly-beat,Heavenly Beat,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/heavenly-beat.md from CSV.
heavy-d-the-boyz,Heavy D & The Boyz,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/heavy-d-the-boyz.md from CSV.
heavy-trash,Heavy Trash,All_artists_Hh.csv,1,True,False,False,content\posts\heavy-trash.md,1,KEEP,Already at canonical location.
hector-lavoe,Héctor Lavoe,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hector-lavoe.md from CSV.
hefner,Hefner,All_artists_Hh.csv,3,True,False,False,content\hefner.md,1,MOVE_AND_RENAME,Move content\hefner.md -> content/posts/hefner.md
heidecker-wood,Heidecker & Wood,All_artists_Hh.csv,5,True,False,False,content\posts\heidecker-wood.md,1,KEEP,Already at canonical location.
helado-negro,Helado Negro,All_artists_Hh.csv; Covers-Hh.csv,4,True,False,True,content\posts\helado-negro.md; content\heraldo-negro.md,2,MERGE_THEN_DELETE,"Canonical exists. Merge richer content from content\heraldo-negro.md into content/posts/helado-negro.md, delete legacy."
helen,Helen,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/helen.md from CSV.
helena-deland,Helena Deland,All_artists_Hh.csv,4,True,False,False,content\helena-deland-4-songs.md,1,MOVE_AND_RENAME,Move content\helena-deland-4-songs.md -> content/posts/helena-deland.md
helene-smith,Helene Smith,Songs-Hh-1900s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/helene-smith.md from CSV.
helio-sequence,The Helio Sequence,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/helio-sequence.md from CSV.
helium,Helium,Songs-Hh-1900s.csv,1,False,True,False,content\helium.md,1,MOVE_AND_RENAME,Move content\helium.md -> content/posts/helium.md
hellacopters,The Hellacopters,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hellacopters.md from CSV.
hello-shark,Hello Shark,Songs-Hh-2000s-10s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/hello-shark.md from CSV.
hemlocke-springs,hemlocke springs,All_artists_Hh.csv,2,True,False,False,content\posts\hemlocke-springs.md,1,KEEP,Already at canonical location.
henry-earnest,Henry Earnest,Songs-HH-2020s.csv,1,False,True,False,,0,CREATE,No file. Create content/posts/henry-earnest.md from CSV.
herbert,Herbert,All_artists_Hh.csv,2,True,False,False,content\herbert-2-songs.md,1,MOVE_AND_RENAME,Move content\herbert-2-songs.md -> content/posts/herbert.md
